Iteração,Texto Plain,Chave,SALT,Salt no Início,Texto Cifrado com SALT
1,ABELHA,2,OGO,TRUE,QIQCDGNJC
2,ABRIGO,19,QYS,FALSE,TUKBZHJRL
3,ABSOLUTO,16,XMH,TRUE,NCXQRIEBKJE
4,ACALMA,15,DMO,TRUE,SBDPRPABP
5,ACEITAR,10,APD,TRUE,KZNKMOSDKB
6,ACENDER,18,PWY,TRUE,HOQSUWFVWJ
7,ACOLHER,17,CAU,TRUE,TRLRTFCYVI
8,ADEUS,12,FGB,TRUE,RSNMPQGE
9,ADORAR,15,CIX,FALSE,PSDGPGRXM
10,AFINAL,12,IFS,FALSE,MRUZMXURE
11,AGORA,4,WBG,FALSE,EKSVEAFK
12,ALEGRIA,17,OYX,TRUE,FPORCVXIZR
13,ALIMENTO,11,LYQ,TRUE,WJBLWTXPYEZ
14,ALINHAR,5,QWY,TRUE,VBDFQNSMFW
15,AMIGO,17,PPH,TRUE,GGYRDZXF
16,AMOR,15,NKJ,TRUE,CZYPBDG
17,ANALISE,17,OVS,FALSE,RERCZJVFMJ
18,ANIMAL,9,ELF,FALSE,JWRVJUNUO
19,ANOITECER,3,UTH,TRUE,XWKDQRLWHFHU
20,APAGAR,15,CNT,TRUE,RCIPEPVPG
21,APOIO,8,IZM,TRUE,QHUIXWQW
22,APRENDER,13,QTD,FALSE,NCERAQREDGQ
23,APROXIMAR,15,YBN,TRUE,NQCPEGDMXBPG
24,AREIA,18,NVM,FALSE,SJWASFNE
25,ARMAZEM,5,GUF,TRUE,LZKFWRFEJR
26,ARRUMAR,20,XQM,FALSE,ULLOGULRKG
27,ASSIM,6,NJS,TRUE,TPYGYYOS
28,ASSUNTO,22,XZQ,FALSE,WOOQJPKTVM
29,ATRAS,18,LAQ,FALSE,SLJSKDSI
30,ATUAL,20,MLJ,TRUE,GFDUNOUF
31,AUMENTAR,19,CMV,TRUE,VFOTNFXGMTK
32,AVENTURA,10,HOE,FALSE,KFOXDEBKRYO
33,AVISO,18,GHA,FALSE,SNAKGYZS
34,AJUDAR,9,QKG,FALSE,JSDMJAZTP
35,BAILAR,12,LOI,TRUE,XAUNMUXMD
36,BALANCA,20,FHB,FALSE,VUFUHWUZBV
37,BALDE,10,ALB,FALSE,LKVNOKVL
38,BARATO,20,OCB,TRUE,IWVVULUNI
39,BARCO,4,TND,FALSE,FEVGSXRH
40,BATER,4,LVK,TRUE,PZOFEXIV
41,BELEZA,4,PBF,FALSE,FIPIDETFJ
42,BELO,2,TEE,FALSE,DGNQVGG
43,BENCAO,18,LMY,TRUE,DEQTWFUSG
44,BISCOITO,18,JVC,TRUE,BNUTAKUGALG
45,BRINCAR,21,BZX,FALSE,WMDIXVMWUS
46,BUSCAR,2,JOJ,TRUE,LQLDWUECT
47,CABECA,8,JVJ,FALSE,KIJMKIRDR
48,CABER,17,ZBD,FALSE,TRSVIQSU
49,CADERNO,20,VQS,FALSE,WUXYLHIPKM
50,CAFE,2,AVM,FALSE,ECHGCXO
51,CAIR,22,BZS,TRUE,XVOYWEN
52,CALMA,6,EFH,TRUE,KLNIGRSG
53,CAMINHAR,22,YBC,TRUE,UXYYWIEJDWN
54,CARINHO,13,ODO,TRUE,BQBPNEVAUB
55,CASA,9,MHX,TRUE,VQGLJBJ
56,CAVALO,7,DXC,TRUE,KEJJHCHSV
57,CÉU,20,UVO,FALSE,WAOOPI
58,CERTO,20,RBN,FALSE,WYLNILVH
59,CHAVE,21,IGL,FALSE,XCVQZDBG
60,CHORAR,13,ZSM,TRUE,MFZPUBENE
61,CINZA,5,MDQ,TRUE,RIVHNSEF
62,CLARO,20,JIF,TRUE,DCZWFULI
63,CLIMA,22,LIR,FALSE,YHEIWHEN
64,COISA,19,GPE,FALSE,VHBLTZIX
65,COLOCAR,20,BQH,TRUE,VKBWIFIWUL
66,COMER,5,TDP,TRUE,YIUHTRJW
67,COMPLETAR,8,JZC,TRUE,RHKKWUXTMBIZ
68,CONFIAR,10,MGC,FALSE,MYXPSKBWQM
69,CORAGEM,15,GPY,FALSE,RDGPVTBVEN
70,CORPO,7,JTM,TRUE,QATJVYWV
71,CRIAR,16,NLU,FALSE,SHYQHDBK
72,CUIDADO,10,GXB,TRUE,QHLMESNKNY
73,CURAR,17,PML,TRUE,GDCTLIRI
74,CURIOSO,5,TIK,FALSE,HZWNTXTYNP
75,DANCA,6,BAE,FALSE,JGTIGHGK
76,DIFICIL,19,MQQ,TRUE,FJJWBYBVBE
77,DIVERTIR,8,AMZ,FALSE,LQDMZBQZIUH
78,DOAR,5,DJX,TRUE,IOCITFW
79,DOR,9,HIB,FALSE,MXAQRK
80,DORMIR,5,PBG,TRUE,UGLITWRNW
81,EDUCAR,15,FKZ,TRUE,UZOTSJRPG
82,EFICAZ,2,TIN,FALSE,GHKECBVKP
83,ELEVAR,16,RYO,TRUE,HOEUBULQH
84,ENCANTAR,19,YUR,FALSE,XGVTGMTKRNK
85,ENSINAR,7,YMQ,TRUE,FTXLUZPUHY
86,ENTENDER,2,VUH,FALSE,GPVGPFGTXWJ
87,ENTRADA,5,FQJ,TRUE,KVOJSYWFIF
88,ENVOLVER,19,YNK,TRUE,RGDXGOHEOXK
89,ESCOLHA,5,PNV,TRUE,USAJXHTQMF
90,ESPACO,21,RAH,FALSE,ZNKVXJMVC
91,ESPERE,10,WHX,TRUE,GRHOCZOBO
92,ESPORTE,21,BJY,TRUE,WETZNKJMOZ
93,ESTAR,8,QEN,FALSE,MABIZYMV
94,ESTILO,3,MNO,TRUE,PQRHVWLOR
95,ESTUDAR,16,YPM,TRUE,OFCUIJKTQH
96,EXCESSO,23,HXK,TRUE,EUHBUZBPPL
97,EXISTIR,18,JGI,FALSE,WPAKLAJBYA
98,EXPLICAR,6,DGT,TRUE,JMZKDVROIGX
99,FAMILIA,19,DBM,TRUE,WUFYTFBEBT
100,FANTASIA,4,EPE,TRUE,ITIJERXEWME
101,FAZER,20,PMJ,TRUE,JGDZUTYL
102,FERIAS,5,CYT,FALSE,KJWNFXHDY
103,FESTA,23,AUV,FALSE,CBPQXXRS
104,FIEL,5,JTS,TRUE,OYXKNJQ
105,FILHO,9,VSR,TRUE,EBAORUQX
106,FINAL,8,EIV,FALSE,NQVITMQD
107,FLOR,3,AUN,TRUE,DXQIORU
108,FLORESTA,12,SAY,FALSE,RXADQEFMEMK
109,FOGO,12,AJY,FALSE,RASAMVK
110,FORTE,13,GDH,TRUE,TQUSBEGR
111,FRAQUEZA,6,YMO,TRUE,ESULXGWAKFG
112,FUTURO,7,NMY,FALSE,MBABYVUTF
113,GANHAR,21,MHS,TRUE,HCNBVICVM
114,GARRA,4,FJZ,TRUE,JNDKEVVE
115,GENTIL,4,JMT,FALSE,KIRXMPNQX
116,GERAR,22,AEQ,TRUE,WAMCANWN
117,GIRAR,15,BTD,FALSE,VXGPGQIS
118,GRANDIOSO,13,EVC,FALSE,TENAQVBFBRIP
119,GRATIDAO,20,XUW,TRUE,ROQALUNCXUI
120,GRAVIDADE,9,GJE,FALSE,PAJERMJMNPSN
121,GUARDAR,10,CSS,TRUE,MCCQEKBNKB
122,GUIA,19,RWU,TRUE,KPNZNBT
123,HONRA,14,KBD,TRUE,YPRVCBFO
124,HORIZONTE,11,OXN,TRUE,ZIYSZCTKZYEP
125,HUMANO,17,HMK,FALSE,YLDREFYDB
126,IMAGINAR,2,PAY,FALSE,KOCIKPCTRCA
127,IMPORTANTE,5,VVS,FALSE,NRUTWYFSYJAAX
128,IMPACTO,14,PSN,FALSE,WADOQHCDGB
129,INCRIVEL,18,EHG,FALSE,AFUJANWDWZY
130,INSPIRAR,18,YKF,FALSE,AFKHAJSJQCX
131,INTENCAO,16,AUZ,FALSE,YDJUDSQEQKP
132,INTERIOR,5,KZT,TRUE,PEYNSYJWNTW
133,INTUIR,9,PIP,TRUE,YRYRWCDRA
134,INVERNO,5,KDR,TRUE,PIWNSAJWST
135,JANELA,4,MVQ,TRUE,QZUNERIPE
136,JARDIM,17,EOX,FALSE,ARIUZDVFO
137,JEITO,8,WDG,TRUE,ELORMQBW
138,JORNADA,14,ETR,TRUE,SHFXCFBORO
139,JUVENTUDE,22,OCP,FALSE,FQRAJPQZAKYL
140,LABORATORIO,4,ZXF,TRUE,DBJPEFSVEXSVMS
141,LAGRIMA,16,RUB,TRUE,HKRBQWHYCQ
142,LARGURA,14,PST,TRUE,DGHZOFUIFO
143,LENTAMENTE,16,QLT,TRUE,GBJBUDJQCUDJU
144,LER,22,GMU,TRUE,CIQHAN
145,LIBERDADE,4,IAO,FALSE,PMFIVHEHIMES
146,LIGAR,16,OAW,TRUE,EQMBYWQH
147,LIMITE,21,VQZ,TRUE,QLUGDHDOZ
148,LINDA,23,OBY,FALSE,IFKAXLYV
149,LUZ,2,NWR,FALSE,NWBPYT
150,MADRUGADA,3,BSN,TRUE,EVQPDGUXJDGD
151,MALANDRO,8,HIL,FALSE,UITIVLZWPQT
152,MANTER,11,PLS,TRUE,AWDXLYEPC
153,MARCHA,22,EZZ,FALSE,IWNYDWAVV
154,MARCAR,12,NDK,TRUE,ZPWYMDOMD
155,MARAVILHA,2,SYM,TRUE,UAOOCTCXKNJC
156,MATURIDADE,14,ZGU,FALSE,AOHIFWRORSNUI
157,MEMORIA,4,RNQ,TRUE,VRUQIQSVME
158,MENTE,14,YHF,TRUE,MVTASBHS
159,MENSAGEM,17,BRE,TRUE,SIVDVEJRXVD
160,MERGULHAR,21,EIB,TRUE,ZDWHZMBPGCVM
161,MIMO,11,QGP,TRUE,BRAXTXZ
162,MINHA,5,IDY,TRUE,NIDRNSMF
163,MIRAGEM,7,SJK,FALSE,TPYHNLTZQR
164,MISTURAR,17,THG,FALSE,DZJKLIRIKYX
165,MODERADO,9,KIO,TRUE,TRXVXMNAJMX
166,MUNDO,18,DQU,TRUE,VIMEMFVG
